Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot71,"Kris Wieland",hard,7,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","06:27:22","06:27:37",
Bot71,"Kris Wieland",hard,7,Failed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","06:27:42","06:29:04",
Bot72,"Bryant Monti",hard,15,Failed,"Delivery From the Past","Zone case_extraction","1","06:27:23","06:28:28",
Bot73,"Blake Ponce",easy,1,Active,"Forklift","Forklift: Objective #1","1","06:27:24","N/A",
Bot74,"Юрий Жмурик (Ezekiel)",hard,1,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","06:28:37","06:28:49",
Bot74,"Юрий Жмурик (Ezekiel)",hard,1,Pending,"Forklift","Forklift: Objective #1","1","06:28:54","N/A",
Bot75,"Федосей Дерзкий (Chauncey)",hard,1,Pending,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","06:28:38","N/A",
Bot76,"Юлиан Ветчина (Афанасий)",hard,1,Pending,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","06:28:39","N/A",
Bot77,"Тарас Печенька (Anton)",easy,1,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","06:29:16","06:29:59",
Bot77,"Тарас Печенька (Anton)",easy,1,Active,"1st Floor Office","1st Floor Office: Objective #2","1","06:30:04","N/A",
[Not Spawned],"Валёк Полседьмого (Vance)",normal,1,,,,,,,
[Not Spawned],"Клим Арматура (Noe)",normal,1,,,,,,,
[Not Spawned],"Колян Цинк (Евгений)",easy,1,,,,,,,
[Not Spawned],"Родион Ловелас (Emilio)",normal,1,,,,,,,
[Not Spawned],"Арсен Арбидол (Gerardo)",normal,1,,,,,,,
